filename,description
thesis_texture-picture-104_artifact_05.png,"Iberian ceramic vessel with a curved, bulbous profile. Cream to pale yellow coloration suggesting a light-firing clay body. the vessel relies on form rather than surface decoration
No incised, carved, or appliqué elements visible. Unadorned style typical of either early ceramic traditions or utilitarian wares
"
thesis_texture-picture-104_artifact_06.png,"Iberian Ceramic vessel. The top of the rim has Geometric border with repeating triangular or sawtooth motifs, linear hatching creating a decorative rim band. The upper middle has 
Horizontal striped bands alternating between solid red and cream. The lower middle has  Radiating lines emanating from a central point, creating a fan or sunburst effect. The bottom of the pottery has a Cross-hatching or woven lattice pattern with a Dense geometric grid with intersecting diagonal lines and Chevron or zigzag bands running horizontally
"
thesis_texture-picture-104_artifact_08.png,"Iberian ceramic cup with lateral perspective, only half dawn.  Horizontal striped composition in Red and cream/natural white bands. Diagonal hatching or cross-hatching lines overlaid on the striped bands, creating a linear decorative grid. Repeating horizontal registers with consistent diagonal line work

"
thesis_texture-picture-105_artifact_01.png,"Lateral view of half ceramic pottery. Commonly used in archeological technical drawing. Smooth, uniform surface with a polished finish Curved form with Concave indentation along the upper central portion
Tapered base.
"
thesis_texture-picture-107_artifact_01.png,"Iberian ceramic plate. To the left, the geometric outline of the vessel, the black line gives shape and thickness of the artifact. In the right we can see the other half of the plate with texture information.
Horizontal striped bands in deep red/maroon on cream background. Wheel made pottery. on the bottom right we can see an fragment."
thesis_texture-picture-107_artifact_02.png,"Lateral view of a  half iberian ceramic vessel technical drawing.  Horizontal striped design consisting of alternating red and cream/buff bands. Stripes are evenly spaced and run parallel to the vessel's rim. Red pigment appears matte and Cream/buff areas show natural clay surface.
"
thesis_texture-picture-108_artifact_01.png,Iberian ceramic vessel with  minimal ornamentation and Simple curved silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical drawing showing the profile of half a pottery
thesis_texture-picture-109_artifact_01.png,"Iberian ceramic plate drawing, the left part shows the geometric outline with a thick black line as one half of the artifact. This provides shape information. To the right we observe the external side of the pottery showing texture information. Unpatterned body, Geometric form defined by clean curved profile"
thesis_texture-picture-109_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. None visible texture, this appears to be an undecorated piece. Curved, bulbous profile suggesting a rounded vessel form
 Clean, straight edge at the top (rim area) and Symmetrical rounded contour from wheel made pottery
"
thesis_texture-picture-110_artifact_01.png,"Iberian ceramic plate drawing, the left part shows the geometric outline with a thick black line as one half of the artifact. This provides shape information. To the right we observe the external side of the pottery showing texture information. Undecorated; solid monochromatic coloring."
thesis_texture-picture-110_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. Smooth, uniform finish with a matte appearance. Curved, concave profile creating an undulating wave or S-curve. Minimalist design with no incised markings or applied decoration
"
thesis_texture-picture-111_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Evenly-spaced parallel lines covering the left section. Right section features diagonal hatching at approximately 45-degree angle
Creates a two-part composition with contrasting stripe directions. Red and white/cream, providing strong visual contrast. Mainly maroon/red covers the artifact.
"
thesis_texture-picture-112_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. No visible decorative patterns or incised designs present. Curved concave profile along the right edge.
Rounded upper terminus. Symmetrical D-shaped or semicircular silhouette
"
thesis_texture-picture-113_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Decorative Pattern: Horizontal striping in the upper section, Clean division between red and cream/ivory colored bands
Symmetrical color blocking with geometric precision. Minimalist design with bold color contrast. Classical proportions suggesting a formal vessel (possibly a vase or urn)
"
thesis_texture-picture-113_artifact_02.png,"Iberian ceramic plate, half profile view, common in archeological technical drawings. Linear geometric pattern featuring parallel horizontal bands in contrasting colors (red/dark brown and cream/tan)
In the rim we see Dark brown or black band along the uppermost edge. Striped motif with evenly spaced parallel lines creating a register pattern at the bottom of the plate and solid cream coloring in the middle of the plate."
thesis_texture-picture-113_artifact_04.png,"Iberian ceramic plate, half profile view, common in archeological technical drawings. Red/dark red decorative band along the upper rim.
"
thesis_texture-picture-114_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Horizontal striping throughout the body. Alternating bands of dark red/burgundy and cream/off-white colors. Stripes vary in width, creating visual rhythm. Geometric precision suggests intentional, systematic decoration. The stripe pattern likely wrapped circumferentially around the complete vessel.
"
thesis_texture-picture-115_artifact_01.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Undecorated, Solid, light coloring. Hemispherical or dome-shaped vessel."
thesis_texture-picture-115_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. The primary Decorative Pattern: Concentric semicircular bands in alternating red and cream/white. Radiating arc design creating a wave-like or scalloped effect. Pattern suggests continuation beyond visible fragment edges. In the rim and bottom we observe two red bands (thicker in the rim and thinner in the bottom)"
thesis_texture-picture-115_artifact_03.png,"Iberian vessel, half profile view, common in archeological technical drawings. The Primary Design shows Concentric circular bands. highly organized parallel lines in the upper middle body, lower middle and bottom.  Linear horizontal bands creating compartmentalization. All lines are Red/rust oxide pigment on cream or buff clay background. High contrast between decorated and plain areas.
"
thesis_texture-picture-115_artifact_04.png,"Iberian vessel, half profile view, common in archeological technical drawings. Smooth surface finish with a uniform cream color. Curved, concave profile featuring a prominent inward-curving indentation or bulge along the body
"
thesis_texture-picture-115_artifact_05.png,"Iberian vessel, half profile view, common in archeological technical drawings. Single Red Silhouette Form. Shape: Vertical, elongated profile with organic curvature. Color: Solid deep red/crimson throughout."
thesis_texture-picture-116_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Single concave curve creating an elegant, flowing profile. Relies on form rather than applied decoration
"
thesis_texture-picture-116_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated red surface with no visible geometric or applied ornamentation. Uniform deep red throughout. wheel-made pottery
"
thesis_texture-picture-117_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Single Red Silhouette Form. Curved vessel."
thesis_texture-picture-118_artifact_01.png,Iberian ceramic vessel with  minimal ornamentation and Simple curved silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a pottery.
thesis_texture-picture-118_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. The drawing shows geometric outline of a wheel made pottery. No texture information"
thesis_texture-picture-119_artifact_01.png,Iberian ceramic vessel with  minimal ornamentation and Simple curved silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a pottery.
thesis_texture-picture-119_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Undecorated, Solid, light coloring. Hemispherical or dome-shaped vessel.
"
thesis_texture-picture-119_artifact_03.png,Iberian ceramic vessel with  minimal ornamentation and Simple curved silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a pottery. 
thesis_texture-picture-119_artifact_04.png,Iberian ceramic vessel with  minimal ornamentation and Simple curved silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a wheel-made pottery.
thesis_texture-picture-120_artifact_01.png,"Iberian ceramic vessel with  minimal ornamentation and Simple Curved, undulating profile with organic S-bend silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a wheel-made pottery.
"
thesis_texture-picture-121_artifact_01.png,"Iberian ceramic vessel with  minimal ornamentation and Curved, concave profile with straight edges on top and bottom; appears to be a sectional view. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a wheel-made pottery.
"
thesis_texture-picture-121_artifact_03.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Horizontal striping in red and white lines. Geometric linear design with regular, evenly-spaced bands."
thesis_texture-picture-122_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated red surface with no visible geometric or applied ornamentation. wheel-made pottery.
"
thesis_texture-picture-122_artifact_03.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated red surface with no visible geometric or applied ornamentation. wheel-made pottery.
"
thesis_texture-picture-122_artifact_04.png,"Iberian vessel, half profile view, common in archeological technical drawings. Single Red Silhouette Form, except the rim which is cream/white non colored. Curved upper right corner and Rectilinear form overall."
thesis_texture-picture-122_artifact_06.png,"Iberian vessel, half profile view, common in archeological technical drawings. Single Red Silhouette Form. Curved vessel. Curved rim with subtle outward flare, Rounded body profile with small base."
thesis_texture-picture-124_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Single Red Silhouette Form, except the rim which is cream/white non colored. Curved upper right corner and Rectilinear form overall. Rectangular body with rounded, concave right margin and Vertical orientation.
"
thesis_texture-picture-125_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings.  Primary motif: Concentric circles arranged in pairs at the base, creating a symmetrical pattern. Secondary decoration: Vertical striped or ridged elements in the upper register with parallel lines.
Formal, repetitive, and organized symmetry. Appears to be relief or incised decoration creating dimensional contrast against the red ground. The rim, middle and base of the vessel contain thick large red bands."
thesis_texture-picture-126_artifact_01.png,Iberian ceramic vessel with  minimal ornamentation and Simple curved silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a wheel-made pottery. 
thesis_texture-picture-126_artifact_02.png,Iberian ceramic vessel with  minimal ornamentation and Subtle curved indentation or molding along the outer silhouette. Subtle gradient shading along edges (yellow to pale cream). This is a technical archeological drawing showing the profile of half a wheel-made pottery.  
thesis_texture-picture-126_artifact_03.png,"Iberian plate, top view, common in archeological technical drawings. Geometric concentric circles radiating outward from a central red core. Alternating red and cream/tan colored bands. Approximately 10-12 rings visible. Perfectly symmetrical radial design. Color contrast between warm reds and cream tones. Demonstrates precise centering and wheel-work capability"
thesis_texture-picture-126_artifact_04.png,"Iberian ceramic plate, top view, common in archeological technical drawings. Geometric Design: Concentric circles forming a radial symmetry pattern. Color Scheme: Warm palette of cream/off-white background with rust-red/terracotta-colored bands. Central solid red circular medallion. Alternating thin and thick concentric ring strokes. Approximately 5-6 visible circular bands. Red lines on neutral ground creating visual depth. Perfect radial symmetry with no visible asymmetrical elements.
"
thesis_texture-picture-126_artifact_05.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated cream/white surface with no visible geometric or applied ornamentation. wheel-made pottery. Curved/rounded profile suggesting a bowl or vessel. "
thesis_texture-picture-127_artifact_01.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated cream/white surface with no visible geometric or applied ornamentation. wheel-made pottery. Curved/rounded profile suggesting a bowl or vessel. "
thesis_texture-picture-127_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. Plain, unadorned body. Rounded rectangular form. Curved indentation on right side (possibly a spout or pouring lip). Subtle rounded corners. Monochromatic appearance (warm cream/tan coloration).
"
thesis_texture-picture-128_artifact_01.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Horizontal striping in red/dark pigment. Linear parallel lines running perpendicular to the rim edge. Regular, evenly-spaced intervals, Geometric motif of repeating horizontal bands.
"
thesis_texture-picture-128_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. The rim/neck has a Solid red band with plain cream/buff surface below. In the Upper-Middle Section there are Concentric circles in red on cream background.
In the Lower-Middle Section of the vessel we see Concentric circles in red on cream background (repeating motif). In the base we see three Horizontal red bands/stripes with cream interstices."
thesis_texture-picture-128_artifact_03.png,"Iberian plate, top view, common in archeological technical drawings. Concentric circular design. Multiple evenly-spaced concentric rings in tan/beige.Central dark red/maroon circle and Radial symmetry throughout. Monochromatic palette (earth tones with accent color)"
thesis_texture-picture-129_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Curved profile with organic, flowing contours; rounded base. No patterns or color described."
thesis_texture-picture-129_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl.  The curved band follows the natural contour of the vessel. Scale marking visible (marked ""1""), indicating archaeological documentation."
thesis_texture-picture-130_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. Geometric design: Vertical striped pattern in red/rust color. Pattern style: Regular, evenly-spaced parallel lines creating a linear motif. Concentrated on the upper portion of the vessel, suggesting the decorated zone transitions to plain surface below. Red horizontal lines at the rim, middle and base of tthe pottery."
thesis_texture-picture-130_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated red/maroon/dark red surface with no visible geometric or applied ornamentation. wheel-made pottery. Curved/rounded profile suggesting a bowl or vessel. "
thesis_texture-picture-131_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. wheel-made pottery. Curved linear design along the right edge. Curved profile suggesting a rounded or bulbous form. 
"
thesis_texture-picture-131_artifact_03.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated red/maroon/dark clay light brown surface with no visible geometric or applied ornamentation. wheel-made pottery."
thesis_texture-picture-133_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. wheel-made pottery.  Angular, rectilinear form with a distinctive curved concave indentation along one edge. "
thesis_texture-picture-133_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings. wheel-made pottery.  Curved, flowing lines creating an organic S-curve or wave-like profile. Plain, unadorned cream/pale yellow coloration with no incised, painted, or relief ornamentation
"
thesis_texture-picture-133_artifact_03.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated clay light brown surface with no visible geometric or applied ornamentation. wheel-made pottery. 
"
thesis_texture-picture-133_artifact_04.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated clay light brown surface with no visible geometric or applied ornamentation. wheel-made pottery. The base looks like is elevated.
"
thesis_texture-picture-134_artifact_01.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated clay light brown surface with no visible geometric or applied ornamentation. wheel-made pottery.  Curved rim profile suggesting a shallow vessel (possibly a bowl or plate)"
thesis_texture-picture-134_artifact_02.png,"Iberian vessel, half profile view, common in archeological technical drawings.  The middle of the base has a geometric grid design with Rectilinear lattice or net-like pattern. Regular intersecting lines forming square or diamond units. Dotted or stippled fill within grid sections. At the neck, middle and bottom of the vase we can observe thick red horizontal lines. wheel made pottery."
thesis_texture-picture-134_artifact_03.png,Iberian ceramic vessel. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside pottery. Undecorated body with subtle undulating curves Cream/Yellow Vessel. 
thesis_texture-picture-135_artifact_01.png,"Iberian vessel, half profile view, common in archeological technical drawings. wheel-made pottery. Plain/undecorated.Simple curved profile with no geometric or applied ornamental elements.
"
thesis_texture-picture-135_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Decorative Pattern: Plain, undecorated red surface with no visible geometric or applied ornamentation. wheel-made pottery.
"
